Start: Fri Nov 22 23:54:15 CST 2019
Threads: 16 | Map Partitions: 8 | "Elapsed time: 13661.026 msecs"
Threads: 20 | Map Partitions: 8 | "Elapsed time: 13665.6448 msecs"
Threads: 32 | Map Partitions: 8 | "Elapsed time: 13648.6812 msecs"
Threads: 64 | Map Partitions: 8 | "Elapsed time: 13657.184 msecs"
Threads:  1 | Map Partitions: 16 | "Elapsed time: 58133.8761 msecs"
Threads:  2 | Map Partitions: 16 | "Elapsed time: 24160.4878 msecs"
Threads:  4 | Map Partitions: 16 | "Elapsed time: 16508.3458 msecs"
Threads:  8 | Map Partitions: 16 | "Elapsed time: 11416.6143 msecs"
Threads: 16 | Map Partitions: 16 | "Elapsed time: 11157.9685 msecs"
Threads: 20 | Map Partitions: 16 | "Elapsed time: 11117.6464 msecs"
Threads: 32 | Map Partitions: 16 | "Elapsed time: 11140.3457 msecs"
Threads: 64 | Map Partitions: 16 | "Elapsed time: 11095.0222 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 58300.462 msecs"
Threads:  2 | Map Partitions: 20 | "Elapsed time: 22933.1204 msecs"
Threads:  4 | Map Partitions: 20 | "Elapsed time: 14903.6479 msecs"
Threads:  8 | Map Partitions: 20 | "Elapsed time: 11244.7865 msecs"
Threads: 16 | Map Partitions: 20 | "Elapsed time: 10343.569 msecs"
Threads: 20 | Map Partitions: 20 | "Elapsed time: 10621.1157 msecs"
Threads: 32 | Map Partitions: 20 | "Elapsed time: 10638.3152 msecs"
Threads: 64 | Map Partitions: 20 | "Elapsed time: 10662.4257 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 58219.077 msecs"
Threads:  2 | Map Partitions: 32 | "Elapsed time: 23147.5009 msecs"
Threads:  4 | Map Partitions: 32 | "Elapsed time: 15235.7498 msecs"
Threads:  8 | Map Partitions: 32 | "Elapsed time: 10338.6542 msecs"
Threads: 16 | Map Partitions: 32 | "Elapsed time: 9148.8389 msecs"
Threads: 20 | Map Partitions: 32 | "Elapsed time: 9183.8922 msecs"
Threads: 32 | Map Partitions: 32 | "Elapsed time: 9687.2878 msecs"
Threads: 64 | Map Partitions: 32 | "Elapsed time: 9673.8981 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 58238.7745 msecs"
Threads:  2 | Map Partitions: 64 | "Elapsed time: 22957.2472 msecs"
Threads:  4 | Map Partitions: 64 | "Elapsed time: 14629.0185 msecs"
Threads:  8 | Map Partitions: 64 | "Elapsed time: 9938.2156 msecs"
Threads: 16 | Map Partitions: 64 | "Elapsed time: 8583.0887 msecs"
Threads: 20 | Map Partitions: 64 | "Elapsed time: 8435.0388 msecs"
Threads: 32 | Map Partitions: 64 | "Elapsed time: 8714.0242 msecs"
Threads: 64 | Map Partitions: 64 | "Elapsed time: 9913.9242 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 58955.1111 msecs"
Threads:  2 | Map Partitions: 128 | "Elapsed time: 24303.3227 msecs"
Threads:  4 | Map Partitions: 128 | "Elapsed time: 15398.4631 msecs"
Threads:  8 | Map Partitions: 128 | "Elapsed time: 10250.7821 msecs"
Threads: 16 | Map Partitions: 128 | "Elapsed time: 8661.3893 msecs"
Threads: 20 | Map Partitions: 128 | "Elapsed time: 8356.1951 msecs"
Threads: 32 | Map Partitions: 128 | "Elapsed time: 8376.07 msecs"
Threads: 64 | Map Partitions: 128 | "Elapsed time: 9249.5684 msecs"
Threads:  1 | Map Partitions: 256 | "Elapsed time: 60338.6726 msecs"
Threads:  2 | Map Partitions: 256 | "Elapsed time: 26240.7823 msecs"
Threads:  4 | Map Partitions: 256 | "Elapsed time: 16748.6211 msecs"
Threads:  8 | Map Partitions: 256 | "Elapsed time: 11002.5768 msecs"
